time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	1.1156225e-06	4.46249e-06	1861.06909371	2.24323	2792.24301497
1	4.46249e-06	1.07118e-05	2883.57150301	2.24323	2965.26700644
2	1.07118e-05	1.94635e-05	7000.16736654	42.7388	2500.58156712
3	1.94635e-05	3.17194e-05	11292.7691707	1570.41	2767.56134844
4	3.17194e-05	4.88828e-05	9236.09883784	4456.75	3175.05303638
5	4.88828e-05	7.29186e-05	4446.78318567	2856.15	2213.26875209
6	7.29186e-05	0.000106579	2044.44245994	1792.65	1468.91483076
7	0.000106579	0.000153717	1481.98930894	1442.33	1343.63451856
8	0.000153717	0.00021973	1503.00965833	1570.11	1485.60924116
9	0.00021973	0.000312175	1936.48818234	2151.79	1926.09657679
10	0.000312175	0.000441637	2569.35511821	2756.22	2500.90909791
11	0.000441637	0.000622938	2929.46732382	3089.8	2883.16149651
12	0.000622938	0.000876834	2735.84317962	2808.84	2926.00027832
13	0.000876834	0.00123239	2233.4688774	2140.74	2338.29918608
14	0.00123239	0.00173032	1534.36463757	1372.47	1576.04299575
15	0.00173032	0.00242763	1474.94913764	2041.27	1312.66110513
16	0.00242763	0.00340415	1670.12916327	1746.27	1321.42466288
17	0.00340415	0.00477169	1730.49	307.591	1337.03125607
18	0.00477169	0.01908676	1730.49	307.591	1339.1
