transcript_name	Gene_name	RAL-486-Unchallenged
NM_001007095	CG42637	3.217
NM_001007096	CG42637	3.257
NM_001014453	PNUTS	3.608
NM_001014454	PNUTS	4.619
NM_001014455	PNUTS	4.663
NM_001014460	l(2)s5379	5.050
NM_001014461	CG9967	1.120
NM_001014462	Rbp9	1.414
NM_001014463	tim	4.116
NM_001014464	for	3.429
NM_001014467	qtc	3.254
NM_001014468	qtc	3.146
NM_001014469	qtc	3.194
NM_001014475	nrv2	1.873
NM_001014476	nrv2	2.083
NM_001014477	ade3	1.788
NM_001014478	Rapgap1	0.947
NM_001014479	Rapgap1	1.194
NM_001014481	kuz	-0.372
NM_001014484	CG15279	3.295
NM_001014489	lectin-37Da	6.677
NM_001014490	lectin-37Db	9.090
NM_001014491	ref(2)P	7.339
NM_001014492	CG33511	0.821
NM_001014493	CG33510	2.707
NM_001014497	CG2225	-0.027
NM_001014498	CG1832	3.321
NM_001014499	Nipped-A	0.856
NM_001014500	mim	1.910
NM_001014503	lig	3.823
NM_001014504	CG30372	3.710
NM_001014505	coil	2.860
NM_001014506	coil	2.783
NM_001014507	Acsl	6.955
NM_001014508	Acsl	6.753
NM_001014509	Acsl	6.880
NM_001014510	Acsl	6.932
NM_001014511	Acsl	6.766
NM_001014512	Acsl	6.923
NM_001014513	stmA	3.888
NM_001014515	14-3-3zeta	8.339
NM_001014516	14-3-3zeta	8.542
NM_001014518	psq	1.726
NM_001014519	psq	1.651
NM_001014520	psq	1.491
NM_001014523	cnn	0.625
NM_001014524	Vmat	1.045
NM_001014525	Vmat	0.889
NM_001014526	Vmat	-0.384
NM_001014527	Asx	0.621
NM_001014528	CG33506	3.210
NM_001014529	U3-55K	1.571
NM_001014535	CG15117	3.448
NM_001014536	ena	1.073
NM_001014537	ena	0.987
NM_001014538	CG10737	4.203
NM_001014539	par-1	1.547
NM_001014540	par-1	4.077
NM_001014542	par-1	4.216
NM_001014545	Unc-89	2.441
NM_001014546	CG4065	1.877
NM_001014547	Nop60B	4.543
NM_001014549	slik	4.007
NM_001014551	RpL41	11.538
NM_001014552	zip	5.250
NM_001014553	zip	5.266
NM_001014556	armi	1.165
NM_001014558	CG33514	6.975
NM_001014560	DopEcR	-0.518
NM_001014561	Src64B	1.363
NM_001014562	Src64B	1.478
NM_001014563	Src64B	1.333
NM_001014564	Src64B	1.459
NM_001014565	vn	-1.088
NM_001014566	CG33523	5.079
NM_001014567	CG33523	5.088
NM_001014568	CG33523	5.113
NM_001014569	CG33523	5.160
NM_001014571	form3	1.474
NM_001014572	melt	1.964
NM_001014574	Clk	1.917
NM_001014576	Clk	1.935
NM_001014577	h	3.944
NM_001014579	Dhpr	3.754
NM_001014580	Dhpr	3.534
NM_001014581	GlcAT-P	1.815
NM_001014583	btl	-0.191
NM_001014584	RecQ5	1.973
NM_001014585	Dcp2	2.028
NM_001014586	fax	2.267
NM_001014587	fax	2.709
NM_001014588	tra	2.868
NM_001014589	scaf6	2.661
NM_001014590	Eip74EF	0.344
NM_001014591	Mi-2	3.200
NM_001014593	Pka-R1	4.064
NM_001014594	Pka-R1	4.228
NM_001014595	Pka-R1	3.945
NM_001014596	Pka-R1	3.954
NM_001014597	Pka-R1	3.926
NM_001014598	Pka-R1	3.813
NM_001014600	CG14457	2.613
NM_001014601	jim	2.908
NM_001014604	CG9795	1.787
NM_001014605	Gnf1	1.393
NM_001014606	CG1161	4.885
NM_001014607	CG14667	1.943
NM_001014608	7B2	1.833
NM_001014609	gfzf	1.340
NM_001014610	gfzf	1.506
NM_001014611	bocksbeutel	2.742
