transcript_name	Gene_name	RAL-229-Challenged
NM_001007095	CG42637	3.380
NM_001007096	CG42637	3.421
NM_001014453	PNUTS	4.590
NM_001014454	PNUTS	4.576
NM_001014455	PNUTS	4.610
NM_001014460	l(2)s5379	6.085
NM_001014461	CG9967	0.822
NM_001014462	Rbp9	0.858
NM_001014463	tim	4.041
NM_001014464	for	3.846
NM_001014467	qtc	4.459
NM_001014468	qtc	4.425
NM_001014469	qtc	4.369
NM_001014475	nrv2	1.962
NM_001014476	nrv2	2.150
NM_001014477	ade3	0.907
NM_001014478	Rapgap1	3.120
NM_001014479	Rapgap1	3.386
NM_001014481	kuz	-0.785
NM_001014484	CG15279	2.004
NM_001014489	lectin-37Da	7.567
NM_001014490	lectin-37Db	7.113
NM_001014491	ref(2)P	7.143
NM_001014492	CG33511	3.557
NM_001014493	CG33510	4.733
NM_001014497	CG2225	-1.149
NM_001014498	CG1832	3.990
NM_001014499	Nipped-A	0.422
NM_001014500	mim	0.588
NM_001014503	lig	3.408
NM_001014504	CG30372	4.051
NM_001014505	coil	2.961
NM_001014506	coil	2.862
NM_001014507	Acsl	5.858
NM_001014508	Acsl	5.657
NM_001014509	Acsl	5.782
NM_001014510	Acsl	5.833
NM_001014511	Acsl	5.670
NM_001014512	Acsl	5.825
NM_001014513	stmA	4.592
NM_001014515	14-3-3zeta	8.635
NM_001014516	14-3-3zeta	8.748
NM_001014518	psq	1.831
NM_001014519	psq	1.754
NM_001014520	psq	1.504
NM_001014523	cnn	1.421
NM_001014524	Vmat	0.483
NM_001014525	Vmat	0.543
NM_001014526	Vmat	-0.964
NM_001014527	Asx	0.894
NM_001014528	CG33506	3.308
NM_001014529	U3-55K	2.013
NM_001014535	CG15117	4.767
NM_001014536	ena	2.562
NM_001014537	ena	2.381
NM_001014538	CG10737	4.089
NM_001014539	par-1	2.023
NM_001014540	par-1	4.644
NM_001014542	par-1	4.880
NM_001014545	Unc-89	1.130
NM_001014546	CG4065	2.772
NM_001014547	Nop60B	3.530
NM_001014549	slik	4.476
NM_001014551	RpL41	10.985
NM_001014552	zip	6.036
NM_001014553	zip	6.049
NM_001014556	armi	1.746
NM_001014558	CG33514	5.123
NM_001014560	DopEcR	-2.583
NM_001014561	Src64B	0.295
NM_001014562	Src64B	0.396
NM_001014563	Src64B	0.255
NM_001014564	Src64B	0.367
NM_001014565	vn	0.332
NM_001014566	CG33523	5.536
NM_001014567	CG33523	5.505
NM_001014568	CG33523	5.535
NM_001014569	CG33523	5.511
NM_001014571	form3	0.542
NM_001014572	melt	3.463
NM_001014574	Clk	1.772
NM_001014576	Clk	1.786
NM_001014577	h	5.802
NM_001014579	Dhpr	4.091
NM_001014580	Dhpr	3.773
NM_001014581	GlcAT-P	1.933
NM_001014583	btl	0.232
NM_001014584	RecQ5	0.733
NM_001014585	Dcp2	1.586
NM_001014586	fax	1.322
NM_001014587	fax	1.612
NM_001014588	tra	3.628
NM_001014589	scaf6	3.854
NM_001014590	Eip74EF	1.607
NM_001014591	Mi-2	3.528
NM_001014593	Pka-R1	3.812
NM_001014594	Pka-R1	3.954
NM_001014595	Pka-R1	3.705
NM_001014596	Pka-R1	3.753
NM_001014597	Pka-R1	3.745
NM_001014598	Pka-R1	3.634
NM_001014600	CG14457	3.579
NM_001014601	jim	3.134
NM_001014604	CG9795	2.725
NM_001014605	Gnf1	2.046
NM_001014606	CG1161	4.722
NM_001014607	CG14667	3.084
NM_001014608	7B2	1.352
NM_001014609	gfzf	2.325
NM_001014610	gfzf	2.244
NM_001014611	bocksbeutel	3.962
NM_001014612	CG8481	4.098
NM_001014613	hth	0.112
NM_001014614	pug	2.949
NM_001014617	CtBP	4.713
NM_001014619	B52	6.190
NM_001014621	trx	0.449
NM_001014623	btsz	3.764
NM_001014624	btsz	3.142
NM_001014625	btsz	2.453
NM_001014626	gish	5.176
NM_001014627	gish	5.570
NM_001014628	gish	4.812
NM_001014629	Dad	3.869
NM_001014631	cpo	-1.357
NM_001014632	cpo	-0.234
NM_001014633	Rpb4	2.721
NM_001014634	Rpb4	1.979
NM_001014635	Rpb4	1.903
NM_001014636	Rpb4	1.869
NM_001014637	Rpb4	2.015
NM_001014643	Stat92E	5.837
NM_001014644	CG7956	2.342
NM_001014646	CG33111	3.933
NM_001014647	jar	6.133
NM_001014648	jar	6.167
NM_001014649	jar	5.934
NM_001014650	jar	6.073
NM_001014651	slo	0.118
NM_001014652	slo	0.114
NM_001014653	slo	0.120
NM_001014654	slo	0.129
NM_001014655	slo	0.057
NM_001014656	slo	0.141
NM_001014657	slo	0.148
NM_001014658	slo	0.180
NM_001014659	slo	0.144
NM_001014660	slo	0.124
NM_001014661	slo	0.018
NM_001014662	slo	0.138
NM_001014663	slo	0.145
NM_001014664	slo	0.145
NM_001014665	Ssadh	6.434
NM_001014666	Ssadh	6.447
NM_001014667	Ssadh	6.438
NM_001014668	Nf1	-0.636
NM_001014669	scrib	3.917
NM_001014670	scrib	3.931
NM_001014671	Rb97D	3.308
NM_001014672	Rb97D	3.197
NM_001014673	Rb97D	3.315
NM_001014674	Rb97D	3.391
NM_001014675	Rb97D	3.414
NM_001014676	Rb97D	3.426
NM_001014677	Rb97D	3.399
NM_001014678	Doa	4.364
NM_001014679	Doa	4.240
NM_001014680	Doa	4.677
NM_001014681	Doa	3.273
NM_001014682	Doa	4.768
NM_001014684	Mgat2	1.872
NM_001014685	pan	1.176
NM_001014687	PMCA	3.931
NM_001014688	PMCA	4.047
NM_001014689	PMCA	4.157
NM_001014691	gw	4.548
NM_001014696	CaMKII	3.189
NM_001014702	CG33521	2.526
NM_001014703	CG33521	2.747
NM_001014705	CG33521	2.669
NM_001014707	ewg	1.397
NM_001014708	ewg	1.415
NM_001014709	ewg	1.204
NM_001014710	ewg	1.185
NM_001014711	ewg	1.220
NM_001014712	ewg	1.319
NM_001014720	norpA	1.712
NM_001014721	norpA	2.065
NM_001014722	peb	4.333
NM_001014723	Proc-R	0.322
NM_001014724	Proc-R	0.412
NM_001014725	Act5C	9.868
NM_001014726	Act5C	9.650
NM_001014728	l(1)G0232	4.063
NM_001014729	l(1)G0232	4.960
NM_001014731	CkIIbeta	4.577
NM_001014736	HDAC4	2.750
NM_001014737	up	7.278
NM_001014738	up	7.304
NM_001014739	up	7.343
NM_001014740	rdgB	0.465
NM_001014741	rdgB	1.172
NM_001014742	Top1	3.477
NM_001014745	Ac13E	1.622
NM_001014746	CG32576	2.787
NM_001014747	nonA	3.215
NM_001014750	mnb	2.286
NM_001014752	CoRest	3.148
NM_001014753	CoRest	3.132
NM_001014754	CoRest	1.716
NM_001014755	CoRest	1.376
NM_001014756	CoRest	1.716
NM_001031858	Caps	0.814
NM_001031859	Caps	0.764
NM_001031860	Caps	0.701
NM_001031861	tyn	0.018
NM_001031862	trol	1.746
NM_001031863	trol	1.758
NM_001031864	trol	1.897
NM_001031865	trol	1.244
NM_001031866	trol	1.809
NM_001031867	trol	1.924
NM_001031869	CG15892	2.318
NM_001031877	CG3192	4.641
NM_001031878	Pink1	4.019
NM_001031879	Pink1	3.976
NM_001031880	Pink1	4.032
NM_001031881	Pink1	4.009
NM_001031882	Pink1	4.017
NM_001031883	Pink1	4.020
NM_001031887	CG33691	1.460
NM_001031888	CG33691	1.798
NM_001031889	CG33691	1.470
NM_001031891	Sxl	3.188
NM_001031892	Sxl	2.562
NM_001031893	Sxl	3.792
NM_001031894	Sxl	3.400
NM_001031895	Sxl	3.155
NM_001031897	mei-218	-0.567
NM_001031898	mei-217	-0.567
NM_001031900	Shawn	2.924
NM_001031901	Shawn	1.828
NM_001031902	Shawn	1.857
NM_001031903	Tim9b	2.400
NM_001031904	Tim9b	2.068
NM_001031907	Rpp20	3.204
NM_001031908	CG33932	3.201
NM_001031912	CG33714	4.582
NM_001031913	CG33714	4.508
NM_001031914	CG33713	4.508
NM_001031915	CG33713	4.582
NM_001031916	bbx	3.436
NM_001031917	bbx	2.927
NM_001031918	waw	2.936
NM_001031933	CG33232	5.904
NM_001031938	Pmi	2.451
NM_001031939	Pmi	2.630
NM_001031940	PGRP-LD	2.469
NM_001031941	PGRP-LD	2.630
NM_001031942	PGRP-LD	2.596
NM_001031943	Hsp22	4.797
NM_001031944	Hsp22	3.880
NM_001031945	Hsp67Bb	3.877
NM_001031947	CG33926	5.942
NM_001031964	AlCR2	-1.709
NM_001031967	kug	1.503
NM_001031977	l(3)82Fd	4.910
NM_001031978	l(3)82Fd	5.134
NM_001031980	Ada2b	3.938
NM_001031981	CG33722	2.342
NM_001031982	CG33722	3.353
NM_001031983	CG18749	2.342
NM_001031984	Pif1B	3.746
NM_001031985	Pif1B	3.487
NM_001031986	Pif1A	2.176
NM_001031987	Pif1A	3.487
NM_001031989	CG33936	5.093
NM_001031990	CG33936	4.844
NM_001031991	CG33936	5.622
NM_001031999	hth	0.446
NM_001032004	sea	5.728
NM_001032005	sea	6.551
NM_001032006	sea	5.916
NM_001032007	sea	5.868
NM_001032008	fabp	6.551
NM_001032009	fabp	7.575
NM_001032010	fabp	6.793
NM_001032012	CG10096	4.839
NM_001032015	primo-1	5.188
NM_001032016	primo-1	4.004
NM_001032017	primo-2	4.004
NM_001032019	srp	-0.043
NM_001032020	Prx5	5.489
NM_001032021	gukh	1.650
NM_001032032	how	1.007
NM_001032033	Myo95E	0.804
NM_001032035	Myo95E	1.421
NM_001032036	Myo95E	0.798
NM_001032037	Myo95E	1.415
NM_001032039	CG33095	2.613
NM_001032040	CG11891	9.236
NM_001032044	CG33635	2.652
NM_001032048	GlyP	4.825
NM_001032049	l(2)s5379	6.350
NM_001032050	CG9960	4.297
NM_001032054	Pp2A-29B	5.545
NM_001032055	Pp2A-29B	5.529
NM_001032056	Pp2A-29B	5.547
NM_001032059	mus201	1.474
