study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	cram_index_ftp	cram_index_galaxy
PRJNA255258	SRP044339	SAMN02911633	SRS660301	SRX652718	SRR1515104	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1515104/SRR1515104.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/004/SRR1515104/SRR1515104.fastq.gz				
PRJNA255258	SRP044339	SAMN02911634	SRS660302	SRX652719	SRR1515105	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1515105/SRR1515105.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/005/SRR1515105/SRR1515105.fastq.gz				
PRJNA255258	SRP044339	SAMN02911635	SRS660303	SRX652720	SRR1515106	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1515106/SRR1515106.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/006/SRR1515106/SRR1515106.fastq.gz				
PRJNA255258	SRP044339	SAMN02911636	SRS660304	SRX652721	SRR1515107	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1515107/SRR1515107.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/007/SRR1515107/SRR1515107.fastq.gz				
PRJNA255258	SRP044339	SAMN02911637	SRS660305	SRX652722	SRR1515108	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1515108/SRR1515108.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/008/SRR1515108/SRR1515108.fastq.gz				
PRJNA255258	SRP044339	SAMN02911638	SRS660306	SRX652723	SRR1515109	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1515109/SRR1515109.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/009/SRR1515109/SRR1515109.fastq.gz				
PRJNA255258	SRP044339	SAMN02911639	SRS660307	SRX652724	SRR1515110	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1515110/SRR1515110.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/000/SRR1515110/SRR1515110.fastq.gz				
PRJNA255258	SRP044339	SAMN02911640	SRS660308	SRX652725	SRR1515111	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1515111/SRR1515111.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/001/SRR1515111/SRR1515111.fastq.gz				
PRJNA255258	SRP044339	SAMN02911641	SRS660309	SRX652726	SRR1515112	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1515112/SRR1515112.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/002/SRR1515112/SRR1515112.fastq.gz				
PRJNA255258	SRP044339	SAMN02911642	SRS660310	SRX652727	SRR1515113	7227	Drosophila melanogaster	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1515113/SRR1515113.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR151/003/SRR1515113/SRR1515113.fastq.gz				
