GO.ID	Term	Annotated	Significant	Expected	classic
GO:0009987	cellular process	4981	3392	3270.07	4.2e-12
GO:0009199	ribonucleoside triphosphate metabolic process	112	103	73.53	4.9e-11
GO:0009144	purine nucleoside triphosphate metabolic process	111	102	72.87	7.0e-11
GO:0009205	purine ribonucleoside triphosphate metabolic process	111	102	72.87	7.0e-11
GO:0022900	electron transport chain	74	71	48.58	2.6e-10
GO:0046034	ATP metabolic process	107	98	70.25	2.8e-10
GO:0042775	mitochondrial ATP synthesis coupled electron transport	60	59	39.39	3.1e-10
GO:0009141	nucleoside triphosphate metabolic process	115	104	75.5	5.2e-10
GO:0045333	cellular respiration	100	92	65.65	5.3e-10
GO:0006091	generation of precursor metabolites and energy	144	126	94.54	1.5e-09
GO:0042773	ATP synthesis coupled electron transport	63	61	41.36	1.5e-09
GO:0022904	respiratory electron transport chain	69	66	45.3	1.7e-09
GO:0044237	cellular metabolic process	3262	2256	2141.53	3.3e-09
GO:0009119	ribonucleoside metabolic process	139	121	91.25	6.5e-09
GO:0042278	purine nucleoside metabolic process	133	116	87.32	1.1e-08
GO:0046128	purine ribonucleoside metabolic process	133	116	87.32	1.1e-08
GO:0044260	cellular macromolecule metabolic process	2469	1723	1620.92	3.3e-08
GO:0044763	single-organism cellular process	3961	2706	2600.43	3.7e-08
GO:0015980	energy derivation by oxidation of organic compounds	115	101	75.5	4.3e-08
GO:0006119	oxidative phosphorylation	70	65	45.96	7.9e-08
GO:0009116	nucleoside metabolic process	147	125	96.51	8.2e-08
GO:1901657	glycosyl compound metabolic process	150	127	98.48	1.1e-07
GO:0044238	primary metabolic process	3364	2311	2208.49	1.1e-07
GO:0009161	ribonucleoside monophosphate metabolic process	123	106	80.75	1.9e-07
GO:0009126	purine nucleoside monophosphate metabolic process	118	102	77.47	2.3e-07
GO:0009167	purine ribonucleoside monophosphate metabolic process	118	102	77.47	2.3e-07
GO:0019693	ribose phosphate metabolic process	159	133	104.38	2.5e-07
GO:0044267	cellular protein metabolic process	1432	1020	940.12	2.7e-07
GO:0009123	nucleoside monophosphate metabolic process	124	106	81.41	4.6e-07
GO:0050794	regulation of cellular process	2190	1527	1437.75	5.8e-07
GO:0048869	cellular developmental process	1762	1240	1156.77	6.2e-07
GO:0009259	ribonucleotide metabolic process	153	127	100.45	1.1e-06
GO:0030154	cell differentiation	1700	1195	1116.06	1.7e-06
GO:0050789	regulation of biological process	2418	1675	1587.44	1.7e-06
GO:0043933	macromolecular complex subunit organization	766	560	502.89	1.7e-06
GO:0009150	purine ribonucleotide metabolic process	149	123	97.82	2.9e-06
GO:0006163	purine nucleotide metabolic process	152	125	99.79	3.6e-06
GO:0048522	positive regulation of cellular process	795	578	521.92	3.7e-06
GO:0071822	protein complex subunit organization	511	381	335.48	4.2e-06
GO:0048468	cell development	1121	800	735.95	5.0e-06
