organId	organName	annotated	significant	expected	foldEnrichment	pValue	FDR
FBbt:00003138	adult midgut (Drosophila)	6341	4342	4126.45	1.05	5.20e-33	4.74e-30
FBbt:00015288	unfertilized egg (Drosophila)	5570	3860	3624.71	1.06	9.35e-32	3.57e-29
UBERON:0007010	cleaving embryo	5401	3753	3514.74	1.07	1.37e-31	3.57e-29
CL:0000025	egg cell	5580	3865	3631.22	1.06	1.96e-31	3.57e-29
CL:0000675	female gamete	5580	3865	3631.22	1.06	1.96e-31	3.57e-29
CL:0000654	primary oocyte	5727	3949	3726.88	1.06	2.02e-29	2.63e-27
CL:0000655	secondary oocyte	5727	3949	3726.88	1.06	2.02e-29	2.63e-27
UBERON:0001045	midgut	6636	4505	4318.42	1.04	1.79e-28	2.04e-26
FBbt:00005724	adult excretory system (Drosophila)	4055	2871	2638.82	1.09	1.74e-27	1.59e-25
FBbt:00005725	adult Malpighian tubule (Drosophila)	4055	2871	2638.82	1.09	1.74e-27	1.59e-25
FBbt:00005718	embryonic/larval excretory system (Drosophila)	6536	4440	4253.34	1.04	2.89e-27	1.88e-25
UBERON:0001054	Malpighian tubule	6536	4440	4253.34	1.04	2.89e-27	1.88e-25
UBERON:0006555	excretory tube	6536	4440	4253.34	1.04	2.89e-27	1.88e-25
UBERON:0009773	renal tubule	6536	4440	4253.34	1.04	2.89e-27	1.88e-25
UBERON:0001008	renal system	6548	4444	4261.15	1.04	2.20e-26	1.34e-24
UBERON:0001009	circulatory system	6103	4166	3971.57	1.05	2.93e-25	1.67e-23
CL:0000023	oocyte	5934	4060	3861.59	1.05	4.75e-25	2.55e-23
CL:0000021	female germ cell	6018	4110	3916.25	1.05	1.65e-24	7.98e-23
FBbt:00004875	germline cyst (Drosophila)	6073	4144	3952.04	1.05	1.84e-24	7.98e-23
FBbt:00007137	female germline cyst (Drosophila)	6073	4144	3952.04	1.05	1.84e-24	7.98e-23
UBERON:0003199	egg chamber	6073	4144	3952.04	1.05	1.84e-24	7.98e-23
FBbt:00004893	ovariole (Drosophila)	6075	4145	3953.35	1.05	2.09e-24	8.68e-23
CL:0000300	gamete	6137	4183	3993.69	1.05	2.72e-24	9.68e-23
CL:0000413	haploid cell	6137	4183	3993.69	1.05	2.72e-24	9.68e-23
CL:0000586	germ cell	6137	4183	3993.69	1.05	2.72e-24	9.68e-23
FBbt:00001682	embryonic/larval hemocoel (Drosophila)	5885	4026	3829.7	1.05	2.87e-24	9.68e-23
FBbt:00001684	embryonic/larval hemocyte (Drosophila)	5885	4026	3829.7	1.05	2.87e-24	9.68e-23
CL:0000387	hemocyte (sensu Nematoda and Protostomia)	5888	4026	3831.65	1.05	7.60e-24	2.24e-22
UBERON:0002323	coelemic cavity lumen	5888	4026	3831.65	1.05	7.60e-24	2.24e-22
UBERON:0002553	anatomical cavity	5888	4026	3831.65	1.05	7.60e-24	2.24e-22
UBERON:0004458	body cavity or lining	5888	4026	3831.65	1.05	7.60e-24	2.24e-22
FBbt:00004860	germline cell (Drosophila)	6165	4197	4011.91	1.05	1.66e-23	4.72e-22
CL:0000039	germ line cell	6158	4192	4007.36	1.05	2.35e-23	6.50e-22
FBbt:00001664	embryonic/larval circulatory system (Drosophila)	5926	4047	3856.38	1.05	3.13e-23	8.41e-22
CL:0000325	stuff accumulating cell	5915	4039	3849.22	1.05	5.57e-23	1.45e-21
CL:0000234	phagocyte	5909	4035	3845.32	1.05	6.32e-23	1.52e-21
CL:0000473	defensive cell	5909	4035	3845.32	1.05	6.32e-23	1.52e-21
CL:0000519	phagocyte (sensu Nematoda and Protostomia)	5909	4035	3845.32	1.05	6.32e-23	1.52e-21
UBERON:0000992	female gonad	6288	4270	4091.96	1.04	8.87e-23	2.02e-21
UBERON:0003134	female reproductive organ	6288	4270	4091.96	1.04	8.87e-23	2.02e-21
CL:0000219	motile cell	6047	4117	3935.12	1.05	5.23e-22	1.16e-20
FBbt:00100318	somatic cell (Drosophila)	6162	4181	4009.96	1.04	2.38e-20	5.18e-19
CL:0000255	eukaryotic cell	6362	4303	4140.11	1.04	6.86e-20	1.42e-18
CL:0000548	animal cell	6362	4303	4140.11	1.04	6.86e-20	1.42e-18
UBERON:0000323	late embryo	6407	4323	4169.4	1.04	3.39e-18	6.88e-17
FBbt:00001882	embryonic/larval midgut (Drosophila)	3725	2607	2424.07	1.08	6.62e-18	1.31e-16
UBERON:0000464	anatomical space	6510	4379	4236.43	1.03	1.41e-16	2.74e-15
FBbt:00007512	embryonic/larval gut (Drosophila)	3858	2684	2510.62	1.07	3.52e-16	6.55e-15
FBbt:00100323	embryonic/larval alimentary canal (Drosophila)	3858	2684	2510.62	1.07	3.52e-16	6.55e-15
FBbt:00001729	larval segment (Drosophila)	5937	4019	3863.54	1.04	3.84e-16	7.01e-15
FBbt:00001728	larval tagma (Drosophila)	6028	4075	3922.76	1.04	6.42e-16	1.15e-14
FBbt:00001842	embryonic/larval digestive system (Drosophila)	3959	2748	2576.35	1.07	7.46e-16	1.31e-14
FBbt:00001744	larval mesothoracic segment (Drosophila)	5906	3995	3843.37	1.04	2.47e-15	4.10e-14
FBbt:00001776	dorsal thoracic disc (Drosophila)	5906	3995	3843.37	1.04	2.47e-15	4.10e-14
FBbt:00001778	wing disc (Drosophila)	5906	3995	3843.37	1.04	2.47e-15	4.10e-14
FBbt:00000018	mesothoracic segment (Drosophila)	5912	3998	3847.27	1.04	3.40e-15	5.54e-14
FBbt:00001741	larval thorax (Drosophila)	5909	3995	3845.32	1.04	5.33e-15	8.39e-14
