time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.44791e-06	1923.16
1	2.44791e-06	5.94983e-06	1923.16
2	5.94983e-06	1.09596e-05	3099.72
3	1.09596e-05	1.81265e-05	7000.9
4	1.81265e-05	2.83793e-05	12055.8
5	2.83793e-05	4.30467e-05	10514
6	4.30467e-05	6.40296e-05	5010.93
7	6.40296e-05	9.40474e-05	2117.59
8	9.40474e-05	0.00013699	1477.99
9	0.00013699	0.000198423	1404.7
10	0.000198423	0.000286308	1801.03
11	0.000286308	0.000412034	2529.66
12	0.000412034	0.000591895	3006.74
13	0.000591895	0.0008492	2779.41
14	0.0008492	0.0012173	2251.23
15	0.0012173	0.00174389	1382.36
16	0.00174389	0.00249721	1480.25
17	0.00249721	0.00357491	1730.49
18	0.00357491	inf	1730.49
