transcript_name	Gene_name	RAL-802-Unchallenged
NM_001007095	CG42637	3.698
NM_001007096	CG42637	3.738
NM_001014453	PNUTS	3.506
NM_001014454	PNUTS	4.107
NM_001014455	PNUTS	4.139
NM_001014460	l(2)s5379	5.017
NM_001014461	CG9967	0.328
NM_001014462	Rbp9	1.336
NM_001014463	tim	5.151
NM_001014464	for	3.398
NM_001014467	qtc	3.684
NM_001014468	qtc	3.584
NM_001014469	qtc	3.602
NM_001014475	nrv2	1.209
NM_001014476	nrv2	1.426
NM_001014477	ade3	1.561
NM_001014478	Rapgap1	1.215
NM_001014479	Rapgap1	1.471
NM_001014481	kuz	-0.293
NM_001014484	CG15279	3.339
NM_001014489	lectin-37Da	5.791
NM_001014490	lectin-37Db	7.981
NM_001014491	ref(2)P	7.421
NM_001014492	CG33511	-0.103
NM_001014493	CG33510	-1.571
NM_001014497	CG2225	-0.537
NM_001014498	CG1832	3.250
NM_001014499	Nipped-A	0.861
NM_001014500	mim	2.323
NM_001014503	lig	3.724
NM_001014504	CG30372	3.357
NM_001014505	coil	2.264
NM_001014506	coil	2.175
NM_001014507	Acsl	6.748
NM_001014508	Acsl	6.542
NM_001014509	Acsl	6.672
NM_001014510	Acsl	6.724
NM_001014511	Acsl	6.556
NM_001014512	Acsl	6.714
NM_001014513	stmA	3.619
NM_001014515	14-3-3zeta	8.277
NM_001014516	14-3-3zeta	8.483
NM_001014518	psq	1.480
NM_001014519	psq	1.405
NM_001014520	psq	1.246
NM_001014523	cnn	1.452
NM_001014524	Vmat	0.514
NM_001014525	Vmat	0.222
NM_001014526	Vmat	-0.926
NM_001014527	Asx	0.961
NM_001014528	CG33506	3.364
NM_001014529	U3-55K	1.350
NM_001014535	CG15117	3.394
NM_001014536	ena	1.263
NM_001014537	ena	1.182
NM_001014538	CG10737	3.996
NM_001014539	par-1	1.652
NM_001014540	par-1	4.203
NM_001014542	par-1	4.207
NM_001014545	Unc-89	1.874
NM_001014546	CG4065	2.051
NM_001014547	Nop60B	4.103
NM_001014549	slik	4.346
NM_001014551	RpL41	11.417
NM_001014552	zip	4.926
NM_001014553	zip	4.941
NM_001014556	armi	1.062
NM_001014558	CG33514	6.688
NM_001014560	DopEcR	0.853
NM_001014561	Src64B	1.640
NM_001014562	Src64B	1.758
NM_001014563	Src64B	1.608
NM_001014564	Src64B	1.726
NM_001014565	vn	-1.494
NM_001014566	CG33523	5.340
NM_001014567	CG33523	5.340
NM_001014568	CG33523	5.379
NM_001014569	CG33523	5.358
NM_001014571	form3	1.449
NM_001014572	melt	1.990
NM_001014574	Clk	2.518
NM_001014576	Clk	2.527
NM_001014577	h	5.038
NM_001014579	Dhpr	4.206
NM_001014580	Dhpr	3.958
NM_001014581	GlcAT-P	1.705
NM_001014583	btl	-0.006
NM_001014584	RecQ5	1.834
NM_001014585	Dcp2	2.211
NM_001014586	fax	1.455
NM_001014587	fax	1.901
NM_001014588	tra	3.244
NM_001014589	scaf6	2.935
NM_001014590	Eip74EF	0.884
NM_001014591	Mi-2	3.204
NM_001014593	Pka-R1	3.838
NM_001014594	Pka-R1	4.015
NM_001014595	Pka-R1	3.772
NM_001014596	Pka-R1	3.816
NM_001014597	Pka-R1	3.798
NM_001014598	Pka-R1	3.686
NM_001014600	CG14457	3.816
NM_001014601	jim	3.113
NM_001014604	CG9795	1.849
NM_001014605	Gnf1	1.533
NM_001014606	CG1161	4.819
NM_001014607	CG14667	2.017
NM_001014608	7B2	2.193
NM_001014609	gfzf	1.701
NM_001014610	gfzf	2.043
NM_001014611	bocksbeutel	2.934
NM_001014612	CG8481	3.794
NM_001014613	hth	0.728
NM_001014614	pug	4.082
NM_001014617	CtBP	4.216
NM_001014619	B52	5.465
NM_001014621	trx	0.028
NM_001014623	btsz	2.470
NM_001014624	btsz	1.905
NM_001014625	btsz	1.027
NM_001014626	gish	4.276
NM_001014627	gish	4.532
NM_001014628	gish	3.865
NM_001014629	Dad	2.669
NM_001014631	cpo	-0.230
NM_001014632	cpo	0.472
NM_001014633	Rpb4	2.288
NM_001014634	Rpb4	1.562
NM_001014635	Rpb4	1.529
NM_001014636	Rpb4	1.477
NM_001014637	Rpb4	1.613
NM_001014643	Stat92E	5.213
NM_001014644	CG7956	1.636
NM_001014646	CG33111	2.606
NM_001014647	jar	4.992
NM_001014648	jar	5.050
NM_001014649	jar	4.921
NM_001014650	jar	4.941
NM_001014651	slo	2.990
NM_001014652	slo	2.986
NM_001014653	slo	3.034
NM_001014654	slo	3.080
NM_001014655	slo	3.046
NM_001014656	slo	3.089
NM_001014657	slo	3.097
NM_001014658	slo	3.133
NM_001014659	slo	3.084
NM_001014660	slo	3.038
NM_001014661	slo	2.985
NM_001014662	slo	3.140
NM_001014663	slo	3.054
NM_001014664	slo	3.053
NM_001014665	Ssadh	4.942
NM_001014666	Ssadh	4.972
NM_001014667	Ssadh	4.953
NM_001014668	Nf1	-0.014
NM_001014669	scrib	3.830
NM_001014670	scrib	3.848
NM_001014671	Rb97D	2.300
NM_001014672	Rb97D	2.207
NM_001014673	Rb97D	2.283
NM_001014674	Rb97D	2.303
NM_001014675	Rb97D	2.300
NM_001014676	Rb97D	2.316
NM_001014677	Rb97D	2.283
NM_001014678	Doa	3.366
NM_001014679	Doa	3.326
NM_001014680	Doa	3.766
NM_001014681	Doa	2.421
NM_001014682	Doa	3.853
NM_001014684	Mgat2	1.230
NM_001014685	pan	1.628
NM_001014687	PMCA	4.396
NM_001014688	PMCA	4.446
NM_001014689	PMCA	4.574
NM_001014691	gw	4.318
NM_001014696	CaMKII	3.071
NM_001014702	CG33521	2.864
NM_001014703	CG33521	3.033
NM_001014705	CG33521	2.978
NM_001014707	ewg	1.549
NM_001014708	ewg	1.567
NM_001014709	ewg	1.373
NM_001014710	ewg	1.369
NM_001014711	ewg	1.389
NM_001014712	ewg	1.489
NM_001014720	norpA	0.772
NM_001014721	norpA	1.047
NM_001014722	peb	3.851
NM_001014723	Proc-R	0.815
NM_001014724	Proc-R	0.926
NM_001014725	Act5C	10.014
NM_001014726	Act5C	9.799
NM_001014728	l(1)G0232	2.209
NM_001014729	l(1)G0232	3.135
NM_001014731	CkIIbeta	4.597
NM_001014736	HDAC4	1.722
NM_001014737	up	6.831
NM_001014738	up	6.862
NM_001014739	up	6.901
NM_001014740	rdgB	0.789
NM_001014741	rdgB	1.492
NM_001014742	Top1	3.248
NM_001014745	Ac13E	2.706
NM_001014746	CG32576	3.911
NM_001014747	nonA	2.397
NM_001014750	mnb	1.337
NM_001014752	CoRest	3.041
NM_001014753	CoRest	3.022
NM_001014754	CoRest	1.992
NM_001014755	CoRest	1.697
NM_001014756	CoRest	1.984
NM_001031858	Caps	0.397
NM_001031859	Caps	0.376
NM_001031860	Caps	0.290
NM_001031861	tyn	-0.442
NM_001031862	trol	2.070
NM_001031863	trol	2.081
NM_001031864	trol	2.260
NM_001031865	trol	1.913
NM_001031866	trol	2.190
NM_001031867	trol	2.190
NM_001031869	CG15892	2.390
NM_001031877	CG3192	5.685
NM_001031878	Pink1	5.085
NM_001031879	Pink1	5.042
NM_001031880	Pink1	5.096
NM_001031881	Pink1	5.074
NM_001031882	Pink1	5.077
NM_001031883	Pink1	5.089
NM_001031887	CG33691	1.264
NM_001031888	CG33691	1.754
NM_001031889	CG33691	1.334
NM_001031891	Sxl	3.533
NM_001031892	Sxl	2.945
NM_001031893	Sxl	4.119
NM_001031894	Sxl	3.727
NM_001031895	Sxl	3.504
NM_001031897	mei-218	-0.477
NM_001031898	mei-217	-0.477
NM_001031900	Shawn	3.016
NM_001031901	Shawn	1.928
NM_001031902	Shawn	1.961
NM_001031903	Tim9b	2.544
NM_001031904	Tim9b	2.517
NM_001031907	Rpp20	4.170
NM_001031908	CG33932	4.170
NM_001031912	CG33714	5.192
NM_001031913	CG33714	5.142
NM_001031914	CG33713	5.142
NM_001031915	CG33713	5.192
NM_001031916	bbx	3.155
NM_001031917	bbx	2.748
NM_001031918	waw	2.753
NM_001031933	CG33232	4.310
NM_001031938	Pmi	3.300
NM_001031939	Pmi	3.374
NM_001031940	PGRP-LD	3.322
NM_001031941	PGRP-LD	3.374
NM_001031942	PGRP-LD	3.338
NM_001031943	Hsp22	5.187
NM_001031944	Hsp22	4.228
NM_001031945	Hsp67Bb	4.227
NM_001031947	CG33926	5.290
NM_001031964	AlCR2	0.380
NM_001031967	kug	0.935
NM_001031977	l(3)82Fd	4.648
NM_001031978	l(3)82Fd	4.807
NM_001031980	Ada2b	2.487
NM_001031981	CG33722	2.347
NM_001031982	CG33722	3.346
NM_001031983	CG18749	2.345
NM_001031984	Pif1B	3.873
NM_001031985	Pif1B	3.827
NM_001031986	Pif1A	3.106
NM_001031987	Pif1A	3.827
NM_001031989	CG33936	4.885
NM_001031990	CG33936	4.762
NM_001031991	CG33936	5.550
NM_001031999	hth	0.982
NM_001032004	sea	6.592
NM_001032005	sea	7.797
NM_001032006	sea	6.765
NM_001032007	sea	6.731
NM_001032008	fabp	7.797
NM_001032009	fabp	9.162
NM_001032010	fabp	8.377
NM_001032012	CG10096	4.162
NM_001032015	primo-1	5.323
NM_001032016	primo-1	4.139
NM_001032017	primo-2	4.139
NM_001032019	srp	-0.956
NM_001032020	Prx5	5.922
NM_001032021	gukh	2.379
NM_001032032	how	1.586
NM_001032033	Myo95E	1.164
NM_001032035	Myo95E	1.586
NM_001032036	Myo95E	1.158
NM_001032037	Myo95E	1.576
NM_001032039	CG33095	2.486
NM_001032040	CG11891	6.193
NM_001032044	CG33635	2.088
NM_001032048	GlyP	5.347
NM_001032049	l(2)s5379	5.328
NM_001032050	CG9960	3.477
NM_001032054	Pp2A-29B	5.552
NM_001032055	Pp2A-29B	5.540
NM_001032056	Pp2A-29B	5.550
NM_001032059	mus201	0.099
NM_001032060	mus201	0.597
NM_001032061	mus201	0.051
NM_001032062	CG9515	4.296
NM_001032063	CG9510	5.013
NM_001032065	CG17768	2.412
NM_001032066	LSm-4	2.412
NM_001032073	Nos	-0.309
NM_001032076	cana	3.191
NM_001032077	CG33695	1.122
NM_001032078	CG33695	0.828
NM_001032079	CG33695	0.830
NM_001032081	CG33695	0.931
NM_001032091	DNApol-gamma35	3.014
NM_001032092	CG33649	3.024
NM_001032095	Adh	7.785
NM_001032096	Adh	7.484
NM_001032097	Adh	6.783
NM_001032098	Adh	6.834
NM_001032099	Adh	7.772
NM_001032101	Adhr	6.783
NM_001032110	spi	3.180
NM_001032217	Df31	4.255
NM_001032223	CG33914	-0.686
NM_001032224	Spn43Ab	3.758
NM_001032225	CG33774	4.316
NM_001032229	lola	3.341
NM_001032231	CG18003	1.781
NM_001032232	CG11919	1.781
NM_001032236	Dyb	2.436
NM_001032237	Dyb	2.510
NM_001032241	CG33671	3.644
NM_001032242	CG33672	3.644
NM_001032244	seq	1.736
NM_001032246	CG33155	4.458
NM_001032247	CG33155	5.042
NM_001032248	CG33155	4.819
NM_001032249	Zasp52	2.918
NM_001032250	Zasp52	3.938
NM_001032251	CG10731	1.233
NM_001032268	sm	0.285
NM_001032269	sm	0.265
NM_001032270	CG13430	1.463
NM_001032271	CG13430	1.529
NM_001032272	CG33785	2.862
NM_001032273	CG33786	2.862
NM_001032401	cp309	5.937
NM_001032402	cp309	4.982
NM_001032403	Neu3	2.328
NM_001032404	Neu3	1.875
NM_001032405	kay	3.957
NM_001032406	kay	4.487
NM_001032407	kay	4.320
NM_001032408	kay	4.254
NM_001038712	CG33978	-1.062
NM_001038713	RhoGAP102A	-1.130
NM_001038714	PMCA	4.528
NM_001038716	CG17471	4.580
NM_001038717	CG17471	4.550
NM_001038718	Mitf	4.131
NM_001038719	Mitf	3.763
NM_001038721	Dyrk3	2.760
NM_001038723	Dyrk3	2.782
NM_001038725	Dyrk3	2.535
NM_001038726	tyn	-0.437
NM_001038727	CG4293	1.333
NM_001038728	CG4293	1.590
NM_001038729	skpA	5.596
NM_001038731	pck	2.308
NM_001038732	Adar	1.344
NM_001038733	CG32803	2.495
NM_001038736	CG3091	5.056
NM_001038738	z	1.825
NM_001038739	mit(1)15	2.359
NM_001038746	sdt	0.439
NM_001038747	sdt	1.396
NM_001038750	CG34026	7.830
NM_001038752	Yippee	4.346
NM_001038753	CG11103	2.806
NM_001038755	CG14408	1.549
NM_001038756	drd	2.675
NM_001038757	Grip128	0.071
NM_001038758	disco	-0.144
NM_001038759	CG34015	3.293
NM_001038760	Axs	0.946
NM_001038763	CG8188	2.685
NM_001038765	tgy	4.093
NM_001038766	CG32529	1.640
NM_001038770	Cp110	0.478
NM_001038771	fog	1.384
NM_001038772	CG4822	0.434
NM_001038773	CG4822	0.382
NM_001038774	CG4822	0.488
NM_001038775	CG4822	0.604
NM_001038776	CG3164	6.750
NM_001038778	CG3662	6.988
NM_001038780	capt	5.995
NM_001038781	capt	5.342
NM_001038784	Jon25Bi	11.081
NM_001038785	CG31919	5.072
NM_001038786	CG33995	5.136
NM_001038787	CG33995	5.071
NM_001038788	CG33995	5.090
NM_001038793	CG7224	2.455
NM_001038795	mon2	3.340
NM_001038796	RpS13	9.735
NM_001038802	RpL13	9.308
NM_001038810	porin	6.895
NM_001038811	CG14946	0.503
NM_001038812	vir-1	2.662
NM_001038814	loqs	2.129
NM_001038817	smi35A	1.671
NM_001038818	smi35A	1.696
NM_001038821	yuri	0.835
NM_001038822	yuri	1.380
NM_001038823	yuri	0.787
NM_001038824	Pax	4.176
NM_001038825	CG10462	3.111
NM_001038826	CG10462	3.027
NM_001038842	CG2201	3.082
NM_001038843	CG2201	3.291
NM_001038847	Gapdh1	6.733
NM_001038849	RanBPM	4.132
NM_001038850	CG9027	3.289
NM_001038852	CG33964	1.769
NM_001038854	NAT1	5.075
NM_001038855	cnn	1.388
NM_001038856	Ih	0.699
NM_001038857	Ih	2.006
NM_001038858	Ih	0.920
NM_001038859	Ih	0.890
NM_001038865	CG33981	3.119
NM_001038866	CG33981	2.983
NM_001038868	CG34005	0.830
NM_001038872	CG34045	1.915
NM_001038874	CG34040	6.038
NM_001038877	CG13516	2.139
NM_001038882	CG4622	1.417
NM_001038884	Atf-2	1.728
NM_001038885	Tina-1	6.610
NM_001038890	CG34056	1.368
NM_001038894	CG33965	3.977
NM_001038895	CG33966	5.104
NM_001038900	CG11583	2.975
NM_001038908	CG33205	4.847
NM_001038909	CG33205	4.624
NM_001038913	CG10973	3.392
NM_001038916	Spt20	1.015
NM_001038917	nuf	2.542
NM_001038918	nuf	2.692
NM_001038919	nuf	2.504
NM_001038920	nuf	2.216
NM_001038921	nuf	2.589
NM_001038922	nuf	1.966
NM_001038923	CG34039	2.660
NM_001038924	Trl	2.014
NM_001038925	Trl	3.098
NM_001038926	Trl	2.496
NM_001038927	CG7255	3.529
NM_001038938	CG33258	5.937
NM_001038944	Deaf1	2.114
NM_001038945	CG33969	2.599
NM_001038946	CG33969	2.556
NM_001038952	Glut4EF	1.536
NM_001038953	GstD1	8.790
NM_001038962	CG33977	4.160
NM_001038966	kibra	1.292
NM_001038968	mtSSB	3.795
NM_001038969	ema	2.853
NM_001038976	hh	1.403
NM_001038977	Saf-B	3.143
NM_001038981	CG33970	4.114
NM_001038982	CG33970	3.988
NM_001038984	CG12877	2.081
NM_001038986	Pglym78	6.349
NM_001038987	Pglym78	6.347
NM_001042788	vnd	4.594
NM_001042789	CG13366	2.660
NM_001042791	CG42259	2.320
NM_001042793	phl	2.042
NM_001042794	sgg	3.572
NM_001042796	rg	2.206
NM_001042797	CG12541	0.759
NM_001042798	sdt	1.484
NM_001042800	CG32699	3.132
NM_001042801	CG34104	-0.563
NM_001042802	CG34104	-0.979
NM_001042803	Imp	0.286
NM_001042804	Myo10A	-0.984
NM_001042811	Lsd-2	6.916
NM_001042812	Lsd-2	6.763
NM_001042813	shi	3.326
NM_001042814	shi	3.333
NM_001042817	RhoGAP15B	2.922
NM_001042818	baz	0.866
NM_001042822	CG34120	2.158
NM_001042846	CG40486	4.184
NM_001042847	CG40486	4.693
NM_001042851	stnA	-2.998
NM_001042852	stnA	-2.987
NM_001042853	stnB	-2.998
NM_001042854	stnB	-2.987
NM_001042855	FucTC	-3.233
NM_001042856	Rab21	3.228
NM_001042857	Rab21	3.030
NM_001042858	CG13865	3.926
NM_001042859	CG13865	3.281
NM_001042862	CG7337	2.482
NM_001042863	CG7337	2.955
NM_001042864	toc	1.621
NM_001042867	jet	2.379
NM_001042869	CG34125	2.717
NM_001042870	CG34126	2.219
NM_001042873	pgant5	2.835
NM_001042876	homer	3.119
NM_001042877	Mnn1	1.613
NM_001042878	CG13784	4.235
NM_001042879	CG34132	4.172
NM_001042881	CG8486	-0.982
NM_001042884	CG32982	1.895
NM_001042885	CG5850	2.891
NM_001042886	CG34109	-1.318
NM_001042888	l(2)06225	7.539
NM_001042889	l(2)06225	7.008
NM_001042891	bru-2	4.013
NM_001042892	bun	4.442
NM_001042893	bun	5.343
NM_001042894	bun	4.187
NM_001042895	CG31731	3.323
NM_001042897	mol	-0.399
NM_001042898	mol	-0.104
NM_001042899	mol	-0.033
NM_001042901	CLIP-190	4.585
NM_001042902	CLIP-190	4.532
NM_001042909	CG31619	-0.057
NM_001042910	step	2.336
NM_001042922	RpL5	10.471
NM_001042923	RpL5	10.557
NM_001042927	CG17490	0.401
NM_001042928	CG17490	0.363
NM_001042929	CG17490	1.999
NM_001042930	CG17490	2.230
NM_001042931	CG17493	4.424
NM_001042932	CG17494	3.202
NM_001042934	CG17494	3.189
NM_001042938	CG40439	4.325
NM_001042939	CG40439	4.205
NM_001042942	CG17715	2.992
NM_001042943	CG17715	1.732
NM_001042944	CG17715	3.111
NM_001042945	CG17715	1.550
NM_001042946	CG17715	3.327
NM_001042947	CG17715	3.170
NM_001042950	lt	3.204
NM_001042951	lt	3.255
NM_001042952	lt	3.246
NM_001042956	cta	1.832
NM_001042959	Spf45	3.749
NM_001042960	Spf45	3.680
NM_001042961	Spf45	3.697
NM_001042962	CG17683	4.603
NM_001042963	CG17683	4.723
NM_001042964	CG17683	4.239
NM_001042965	CG17683	4.609
NM_001042968	CG40127	8.096
NM_001042972	IntS3	3.139
NM_001042973	Gprk1	2.966
NM_001042975	RpL38	9.396
NM_001042977	Stlk	1.926
NM_001042979	p120ctn	3.196
NM_001042981	CG17486	3.654
NM_001042983	CG17883	3.960
NM_001042984	CG17883	3.824
NM_001042986	Nipped-B	2.740
NM_001042987	Nipped-B	2.732
NM_001042989	CG17082	3.576
NM_001042990	CG17082	3.602
NM_001042991	CG17082	3.661
NM_001042992	CG17082	3.608
NM_001042993	CG17082	3.477
NM_001042995	CG12547	3.493
NM_001042997	CG17528	2.375
NM_001042998	CG17528	3.186
NM_001043001	CG14464	4.028
NM_001043005	CG3107	3.839
NM_001043009	l(2)01289	2.092
NM_001043010	l(2)01289	2.053
NM_001043011	Dscam	1.662
NM_001043012	Dscam	1.650
NM_001043013	Dscam	1.665
NM_001043014	Dscam	1.666
NM_001043015	Dscam	1.664
NM_001043016	Dscam	1.653
NM_001043017	Dscam	1.649
NM_001043018	Dscam	1.666
NM_001043019	Dscam	1.653
NM_001043020	Dscam	1.700
NM_001043021	Dscam	1.665
NM_001043022	Dscam	1.665
NM_001043023	Dscam	1.665
NM_001043024	Dscam	1.665
NM_001043025	Dscam	1.651
NM_001043026	Dscam	1.647
NM_001043027	Dscam	1.651
