transcript_name	Gene_name	RAL-857-Challenged
NM_001007095	CG42637	3.562
NM_001007096	CG42637	3.601
NM_001014453	PNUTS	5.324
NM_001014454	PNUTS	5.361
NM_001014455	PNUTS	5.402
NM_001014460	l(2)s5379	6.223
NM_001014461	CG9967	0.942
NM_001014462	Rbp9	1.670
NM_001014463	tim	5.179
NM_001014464	for	3.734
NM_001014467	qtc	4.499
NM_001014468	qtc	4.435
NM_001014469	qtc	4.422
NM_001014475	nrv2	2.319
NM_001014476	nrv2	2.499
NM_001014477	ade3	2.105
NM_001014478	Rapgap1	3.342
NM_001014479	Rapgap1	3.610
NM_001014481	kuz	-0.060
NM_001014484	CG15279	2.035
NM_001014489	lectin-37Da	7.233
NM_001014490	lectin-37Db	8.181
NM_001014491	ref(2)P	7.359
NM_001014492	CG33511	1.577
NM_001014493	CG33510	3.037
NM_001014497	CG2225	-0.948
NM_001014498	CG1832	4.027
NM_001014499	Nipped-A	0.827
NM_001014500	mim	1.193
NM_001014503	lig	3.924
NM_001014504	CG30372	4.097
NM_001014505	coil	2.665
NM_001014506	coil	2.590
NM_001014507	Acsl	5.685
NM_001014508	Acsl	5.488
NM_001014509	Acsl	5.609
NM_001014510	Acsl	5.661
NM_001014511	Acsl	5.501
NM_001014512	Acsl	5.651
NM_001014513	stmA	4.580
NM_001014515	14-3-3zeta	8.229
NM_001014516	14-3-3zeta	8.429
NM_001014518	psq	2.415
NM_001014519	psq	2.341
NM_001014520	psq	2.114
NM_001014523	cnn	2.913
NM_001014524	Vmat	2.230
NM_001014525	Vmat	2.140
NM_001014526	Vmat	0.707
NM_001014527	Asx	1.330
NM_001014528	CG33506	3.050
NM_001014529	U3-55K	2.490
NM_001014535	CG15117	4.922
NM_001014536	ena	2.524
NM_001014537	ena	2.442
NM_001014538	CG10737	4.300
NM_001014539	par-1	2.271
NM_001014540	par-1	4.784
NM_001014542	par-1	4.787
NM_001014545	Unc-89	1.594
NM_001014546	CG4065	2.533
NM_001014547	Nop60B	4.752
NM_001014549	slik	4.679
NM_001014551	RpL41	10.855
NM_001014552	zip	6.038
NM_001014553	zip	6.050
NM_001014556	armi	2.244
NM_001014558	CG33514	5.534
NM_001014560	DopEcR	-0.564
NM_001014561	Src64B	0.921
NM_001014562	Src64B	1.012
NM_001014563	Src64B	0.874
NM_001014564	Src64B	1.001
NM_001014565	vn	0.332
NM_001014566	CG33523	5.811
NM_001014567	CG33523	5.781
NM_001014568	CG33523	5.841
NM_001014569	CG33523	5.774
NM_001014571	form3	1.002
NM_001014572	melt	2.322
NM_001014574	Clk	1.833
NM_001014576	Clk	1.842
NM_001014577	h	5.191
NM_001014579	Dhpr	3.863
NM_001014580	Dhpr	3.541
NM_001014581	GlcAT-P	1.708
NM_001014583	btl	-0.169
NM_001014584	RecQ5	1.892
NM_001014585	Dcp2	2.315
NM_001014586	fax	2.342
NM_001014587	fax	2.769
NM_001014588	tra	3.320
NM_001014589	scaf6	3.849
NM_001014590	Eip74EF	1.733
NM_001014591	Mi-2	3.907
NM_001014593	Pka-R1	4.880
NM_001014594	Pka-R1	5.038
NM_001014595	Pka-R1	4.723
NM_001014596	Pka-R1	4.806
NM_001014597	Pka-R1	4.847
NM_001014598	Pka-R1	4.736
NM_001014600	CG14457	3.298
NM_001014601	jim	3.285
NM_001014604	CG9795	2.458
NM_001014605	Gnf1	2.089
NM_001014606	CG1161	4.504
NM_001014607	CG14667	3.023
NM_001014608	7B2	2.004
NM_001014609	gfzf	2.151
NM_001014610	gfzf	2.447
NM_001014611	bocksbeutel	4.931
NM_001014612	CG8481	4.005
NM_001014613	hth	0.959
NM_001014614	pug	3.553
NM_001014617	CtBP	4.870
NM_001014619	B52	6.019
NM_001014621	trx	1.003
NM_001014623	btsz	3.147
NM_001014624	btsz	2.560
NM_001014625	btsz	1.633
NM_001014626	gish	5.071
NM_001014627	gish	5.448
NM_001014628	gish	4.718
NM_001014629	Dad	4.083
NM_001014631	cpo	-0.308
NM_001014632	cpo	0.569
NM_001014633	Rpb4	2.646
NM_001014634	Rpb4	2.173
NM_001014635	Rpb4	2.113
NM_001014636	Rpb4	2.059
NM_001014637	Rpb4	2.227
NM_001014643	Stat92E	5.365
NM_001014644	CG7956	2.302
NM_001014646	CG33111	3.640
NM_001014647	jar	6.136
NM_001014648	jar	6.186
NM_001014649	jar	6.051
NM_001014650	jar	6.088
NM_001014651	slo	1.121
NM_001014652	slo	1.113
NM_001014653	slo	1.136
NM_001014654	slo	1.148
NM_001014655	slo	1.119
NM_001014656	slo	1.154
NM_001014657	slo	1.157
NM_001014658	slo	1.205
NM_001014659	slo	1.165
NM_001014660	slo	1.144
NM_001014661	slo	1.091
NM_001014662	slo	1.193
NM_001014663	slo	1.141
NM_001014664	slo	1.138
NM_001014665	Ssadh	6.408
NM_001014666	Ssadh	6.420
NM_001014667	Ssadh	6.413
NM_001014668	Nf1	-0.344
NM_001014669	scrib	4.665
NM_001014670	scrib	4.664
NM_001014671	Rb97D	3.224
NM_001014672	Rb97D	3.244
NM_001014673	Rb97D	3.216
NM_001014674	Rb97D	3.302
NM_001014675	Rb97D	3.307
NM_001014676	Rb97D	3.324
NM_001014677	Rb97D	3.294
NM_001014678	Doa	4.533
NM_001014679	Doa	4.214
NM_001014680	Doa	4.678
NM_001014681	Doa	3.261
NM_001014682	Doa	4.776
NM_001014684	Mgat2	1.554
NM_001014685	pan	1.634
NM_001014687	PMCA	4.225
NM_001014688	PMCA	4.293
NM_001014689	PMCA	4.351
NM_001014691	gw	4.713
NM_001014696	CaMKII	3.585
NM_001014702	CG33521	2.928
NM_001014703	CG33521	3.096
NM_001014705	CG33521	3.052
NM_001014707	ewg	1.920
