target_id	length	eff_length	est_counts	tpm
FBtr0114187	445	266	0	0
FBtr0347033	1076	897	0	0
FBtr0114261	1994	1622.08	11.2181	0.248229
FBtr0114196	967	788	0	0
FBtr0114201	824	485.14	1	0.073984
FBtr0114198	1110	931	0	0
FBtr0300146	1265	921.509	11.4444	0.445759
FBtr0308947	1051	872	0	0
FBtr0114286	752	573	0	0
FBtr0114194	1697	1518	0	0
FBtr0114206	834	655	0	0
FBtr0114202	265	86.2066	0	0
FBtr0114205	1088	683.653	7.34998	0.385883
FBtr0114259	1975	1403.7	0	0
FBtr0114207	1134	889.328	0	0
FBtr0302344	264	85.2271	0	0
FBtr0114274	2099	1511.68	36	0.854768
FBtr0114208	549	332.799	6.54837	0.706246
FBtr0114209	569	351.205	142.428	14.556
FBtr0114210	559	336.674	0	0
FBtr0114253	540	317.307	261.023	29.526
FBtr0114284	524	270.243	0	0
FBtr0114214	740	516.66	11.4846	0.79784
FBtr0114211	566	344.34	0.190892	0.0198977
FBtr0114283	1005	654.52	40.2976	2.20984
FBtr0114216	1012	833	0	0
FBtr0300167	1105	926	0	0
FBtr0300105	615	436	0	0
FBtr0114218	506	310.076	0	0
FBtr0304147	435	256	0	0
FBtr0114222	530	267.026	27.4026	3.68336
FBtr0300161	1356	1177	0	0
FBtr0114275	1266	1006.4	5.2761	0.188168
FBtr0114285	462	283	0	0
FBtr0114223	838	604.733	1.63692	0.0971558
FBtr0114280	575	350.511	652.438	66.8102
FBtr0114257	1030	851	0	0
FBtr0300134	654	475	0	0
FBtr0114249	668	438.62	1768.58	144.724
FBtr0114262	1942	1763	0	0
FBtr0347010	1428	1249	0	0
FBtr0347034	740	561	0	0
FBtr0302352	348	169	0	0
FBtr0300141	1190	1011	0	0
FBtr0300139	1443	1264	0	0
FBtr0300138	1327	1148	0	0
FBtr0114228	765	546.817	4.61088	0.302654
FBtr0347035	1072	893	0	0
FBtr0300689	1880	1654.09	0	0
FBtr0300690	1802	1611.45	7	0.155914
FBtr0330654	1844	1620.36	0	0
FBtr0078170	5248	4640.29	3029.46	23.4329
FBtr0078171	5391	4769.11	649.328	4.88688
FBtr0078166	5155	4544.36	213.415	1.68561
FBtr0078167	5230	4617.83	0.0512538	0.000398376
FBtr0078168	5225	4614.77	97.9007	0.761448
FBtr0078169	5082	4487.64	804.566	6.43499
FBtr0306589	5315	4694.11	1006.93	7.69929
FBtr0306590	5179	4573.8	96.3134	0.755814
FBtr0306591	5390	4762.62	93.1078	0.70169
FBtr0306592	5528	4888.18	1.29187	0.00948584
FBtr0330655	5281	4668.41	78.6325	0.604557
FBtr0113008	2629	2417.12	28.6188	0.424969
FBtr0309810	2230	2035.47	26.3812	0.465195
FBtr0078163	4350	4106.27	36.3621	0.317838
FBtr0078164	7227	6974.06	11.3885	0.0586118
FBtr0113416	4347	4105.91	5.94722	0.0519888
FBtr0309225	6150	5971	0	0
FBtr0309227	3917	3660.84	9.30224	0.0912036
FBtr0309228	7266	6921.32	0	0
FBtr0309229	7005	6826	0	0
FBtr0309226	6583	6404	0	0
FBtr0345732	244	66.2053	2	1.08428
FBtr0345733	207	37.5845	0	0
FBtr0306539	4153	3839.76	20.8833	0.195209
FBtr0306536	3731	3486.65	0.0679709	0.000699713
FBtr0306538	3454	3223.53	2.14058	0.0238344
FBtr0078100	4040	3717.68	423.671	4.09036
FBtr0306537	3789	3471.39	444.734	4.59834
FBtr0344052	2798	2290.85	258.782	4.05455
FBtr0344053	2686	2183.71	0	0
FBtr0306540	1430	1159.63	735.249	22.7573
FBtr0078101	1841	1563.42	471.725	10.8297
FBtr0302164	1458	1192.17	377.933	11.3784
FBtr0331680	1536	1274.78	306.592	8.6324
FBtr0301733	1694	1381.77	424.222	11.0195
FBtr0306541	1378	1159.39	23	0.712036
FBtr0290323	2225	1892.16	44.5756	0.845559
FBtr0330637	1662	1467.68	17.4244	0.426121
FBtr0078103	6476	5899.22	1044	6.352
FBtr0078104	1583	1416.92	1291.64	32.7191
FBtr0330636	1221	1069.45	216.088	7.25228
FBtr0301452	2551	2314.75	2076.28	32.1949
FBtr0089437	2387	2080.93	0	0
FBtr0308091	961	765.839	43.507	2.03904
FBtr0089428	2184	1956.49	407.658	7.47865
FBtr0089429	2293	2009.29	8.3514e-08	1.49184e-09
FBtr0330656	2298	2002.13	7.69322	0.137918
FBtr0089432	2283	2047	341.722	5.99184
FBtr0089430	2380	2099.08	638.508	10.918
FBtr0089431	2380	2096.29	0.000170581	2.92068e-06
FBtr0089433	2353	2063.72	13.9689	0.24295
FBtr0089434	2429	2143.18	411.433	6.8904
FBtr0089435	2309	2021.86	1848.48	32.8147
FBtr0089436	1971	1713.79	24.0303	0.503277
FBtr0306542	657	478	0	0
FBtr0330638	678	499	0	0
FBtr0330639	586	407	0	0
FBtr0336838	818	639	0	0
FBtr0078160	1124	945	0	0
FBtr0100307	2749	2411.46	0.0095845	0.000142657
FBtr0078157	2742	2446.41	61.1002	0.896435
FBtr0100308	2885	2557.22	47.1776	0.662175
FBtr0100309	2597	2311.72	0	0
FBtr0330646	2457	2181.1	29.0175	0.477518
FBtr0078158	2656	2388.46	0	0
FBtr0078156	2456	2180.19	90.0804	1.483
FBtr0078159	4008	3634.82	0	0
FBtr0100310	2505	2246.93	33.6146	0.536963
FBtr0078154	2778	2543.6	4460.64	62.9438
FBtr0100379	2864	2615.53	12331.3	169.221
FBtr0078153	2759	2519.28	51.4684	0.73328
FBtr0078155	2845	2591.21	177.781	2.46256
FBtr0344032	1062	820.443	86.7581	3.79548
FBtr0300568	1699	1637.83	811.068	17.7743
FBtr0078114	2176	2016.11	1324.52	23.5804
FBtr0078115	2396	2237.44	103.408	1.65885
FBtr0336836	727	548	0	0
FBtr0336837	502	323	0	0
FBtr0346127	1014	827.251	3.07954	0.133614
FBtr0302194	2206	2050.7	0	0
FBtr0302196	2206	2050.7	0	0
FBtr0302195	1335	1184.6	161.92	4.90606
FBtr0330644	1380	1221.61	3226.69	94.8045
FBtr0300987	1838	1651.65	46.7691	1.01635
FBtr0330645	1908	1709.77	448.545	9.41616
FBtr0078116	905	785.172	694	31.7248
FBtr0301929	5305	5411.46	75	0.497453
FBtr0330643	5299	5407.06	0	0
FBtr0078147	1699	1490.85	112	2.69642
FBtr0330641	869	670.568	0.00191541	0.000102524
FBtr0330642	798	599.716	3.85306	0.230603
FBtr0078117	486	308.786	1554.43	180.684
FBtr0078118	623	444.14	177.79	14.3678
FBtr0301886	568	389.39	0	0
FBtr0301887	507	327.793	39.9276	4.37199
FBtr0330640	415	234.252	0	0
FBtr0340650	1381	1199.65	32.048	0.958849
FBtr0078119	1261	1087.35	785.952	25.9436
FBtr0091612	769	585.778	171	10.4778
FBtr0078122	17880	17701	0	0
FBtr0306341	17963	17784	0	0
FBtr0330652	20622	20622.8	60.2099	0.104791
FBtr0332336	19571	19440.6	4.11918e-05	7.60514e-08
FBtr0078121	19604	19438.1	1243.37	2.29589
FBtr0332337	17143	16964	0	0
FBtr0078123	18859	18826.5	129.003	0.245945
FBtr0330653	18434	18407.4	1380.41	2.69166
FBtr0078124	903	747.624	641	30.7737
FBtr0308246	1290	1115.8	0	0
FBtr0078146	1259	1083.47	24	0.795058
FBtr0332338	3129	2983.04	42.2052	0.507822
FBtr0078125	2902	2771	642.726	8.32519
FBtr0332339	3121	2953.14	81.0693	0.985322
FBtr0078145	8225	8145.37	2572.68	11.3365
FBtr0078144	17943	18193.8	2.47731e-05	4.88722e-08
FBtr0299837	18528	18795.2	45.147	0.0862159
FBtr0308253	18006	18253.5	7.58095e-07	1.49068e-09
FBtr0308254	17733	17962.5	17.1749	0.0343188
FBtr0308255	17731	17681.6	0	0
FBtr0336984	400	216.445	1	0.165828
FBtr0336985	1190	1034.54	4	0.138777
FBtr0336986	552	373	0	0
FBtr0309764	88	8.89679	0	0
FBtr0078126	1660	1481	0	0
FBtr0304343	107	10.4162	0	0
FBtr0304344	22	5.60924	0	0
FBtr0336987	904	704.843	3	0.152768
FBtr0336990	1105	955.578	0	0
FBtr0078143	981	836.432	209	8.96851
FBtr0336989	1799	1746.49	21.0823	0.433268
FBtr0078140	1726	1658.53	319.02	6.90398
FBtr0078141	1753	1685.49	16.8976	0.359835
FBtr0308252	7557	7310.35	2.16424	0.010626
FBtr0336988	754	554.762	0.835762	0.054073
FBtr0078142	4040	3861	0	0
FBtr0078127	2417	2263.84	6	0.0951286
FBtr0078139	1756	1651.22	376	8.17312
