ensembl_transcript_id	ensembl_gene_id
FBtr0082757	FBgn0041711
FBtr0080129	FBgn0032283
FBtr0336850	FBgn0032283
FBtr0113346	FBgn0042110
FBtr0082908	FBgn0038207
FBtr0078480	FBgn0037149
FBtr0334111	FBgn0037149
FBtr0084333	FBgn0039007
FBtr0335007	FBgn0039007
FBtr0300146	FBgn0259849
FBtr0346576	FBgn0267291
FBtr0114340	FBgn0086064
FBtr0301624	FBgn0069913
FBtr0342603	FBgn0028707
FBtr0110911	FBgn0028707
FBtr0112452	FBgn0085287
FBtr0076994	FBgn0020644
FBtr0305185	FBgn0026083
FBtr0305180	FBgn0026083
FBtr0305179	FBgn0026083
FBtr0305181	FBgn0026083
FBtr0305184	FBgn0026083
FBtr0070643	FBgn0026083
FBtr0345713	FBgn0026083
FBtr0301124	FBgn0026083
FBtr0305182	FBgn0026083
FBtr0305183	FBgn0026083
FBtr0300931	FBgn0026083
FBtr0081516	FBgn0023090
FBtr0076992	FBgn0020643
FBtr0071132	FBgn0029979
FBtr0344137	FBgn0029979
FBtr0303047	FBgn0261954
FBtr0307290	FBgn0261954
FBtr0303046	FBgn0261954
FBtr0307289	FBgn0261954
FBtr0343522	FBgn0261954
FBtr0070326	FBgn0261954
FBtr0301737	FBgn0085195
FBtr0112357	FBgn0085195
FBtr0345461	FBgn0085195
FBtr0343708	FBgn0085195
FBtr0075320	FBgn0043577
FBtr0333627	FBgn0043577
FBtr0077957	FBgn0031306
FBtr0332271	FBgn0031306
FBtr0070579	FBgn0023215
FBtr0301823	FBgn0023215
FBtr0301821	FBgn0023215
FBtr0343578	FBgn0023215
FBtr0307278	FBgn0023215
FBtr0307277	FBgn0023215
FBtr0070578	FBgn0023215
FBtr0301824	FBgn0023215
FBtr0301825	FBgn0023215
FBtr0301822	FBgn0023215
FBtr0299693	FBgn0259203
FBtr0344452	FBgn0259203
FBtr0299691	FBgn0259203
FBtr0299692	FBgn0259203
FBtr0081365	FBgn0051683
FBtr0330662	FBgn0051683
FBtr0332688	FBgn0011836
FBtr0076361	FBgn0011836
FBtr0091888	FBgn0053884
FBtr0080031	FBgn0027611
FBtr0080030	FBgn0027611
FBtr0083830	FBgn0038766
FBtr0343376	FBgn0266052
FBtr0072309	FBgn0035027
FBtr0343484	FBgn0035027
FBtr0091630	FBgn0053653
FBtr0307333	FBgn0053653
FBtr0091631	FBgn0053653
FBtr0333702	FBgn0053653
FBtr0307334	FBgn0053653
FBtr0087197	FBgn0050238
FBtr0347080	FBgn0267629
FBtr0087178	FBgn0034113
FBtr0088121	FBgn0043470
FBtr0082627	FBgn0086687
FBtr0082628	FBgn0086687
FBtr0082630	FBgn0086687
FBtr0082629	FBgn0086687
FBtr0082626	FBgn0086687
FBtr0345420	FBgn0266787
FBtr0078552	FBgn0037200
FBtr0078553	FBgn0037200
FBtr0330203	FBgn0263355
FBtr0273378	FBgn0263355
FBtr0330204	FBgn0263355
FBtr0308895	FBgn0263355
FBtr0330661	FBgn0263355
FBtr0299789	FBgn0259227
FBtr0077731	FBgn0019830
FBtr0077734	FBgn0019830
FBtr0087650	FBgn0033865
FBtr0302109	FBgn0264962
FBtr0339986	FBgn0264962
FBtr0339985	FBgn0264962
FBtr0345528	FBgn0264962
FBtr0302294	FBgn0264962
FBtr0302560	FBgn0264962
FBtr0301513	FBgn0264962
FBtr0077439	FBgn0031604
FBtr0074927	FBgn0036908
FBtr0333878	FBgn0036908
FBtr0345290	FBgn0025742
FBtr0079223	FBgn0025742
FBtr0346165	FBgn0030352
FBtr0073572	FBgn0030352
FBtr0089222	FBgn0039930
FBtr0300453	FBgn0052638
