target_id	length	eff_length	est_counts	tpm
FBtr0114187	445	266	0	0
FBtr0347033	1076	897	0	0
FBtr0114261	1994	1599.1	2.42636	0.0652137
FBtr0114196	967	566.218	2	0.151812
FBtr0114201	824	645	0	0
FBtr0114198	1110	931	0	0
FBtr0300146	1265	931.919	2.02363	0.093328
FBtr0308947	1051	872	0	0
FBtr0114286	752	500.521	4.52713	0.38874
FBtr0114194	1697	1518	0	0
FBtr0114206	834	490.037	1.07211	0.0940309
FBtr0114202	265	86.2066	0	0
FBtr0114205	1088	681.668	4.62192	0.291412
FBtr0114259	1975	1407.31	0	0
FBtr0114207	1134	881.122	0	0
FBtr0302344	264	85.2271	0	0
FBtr0114274	2099	1488.83	32	0.923768
FBtr0114208	549	333.759	0	0
FBtr0114209	569	351.376	26.4339	3.23332
FBtr0114210	559	336.817	0	0
FBtr0114253	540	317.688	237.518	32.1332
FBtr0114284	524	267.808	0	0
FBtr0114214	740	515.482	6.93589	0.578292
FBtr0114211	566	343.904	8.78369e-05	1.09774e-05
FBtr0114283	1005	647.784	18.6579	1.23791
FBtr0114216	1012	657.816	0	0
FBtr0300167	1105	926	0	0
FBtr0300105	615	436	0	0
FBtr0114218	506	300.185	0.000125503	1.7969e-05
FBtr0304147	435	256	0	0
FBtr0114222	530	265.459	25.6693	4.156
FBtr0300161	1356	1177	0	0
FBtr0114275	1266	999.899	8.3192	0.357589
FBtr0114285	462	283	0	0
FBtr0114223	838	597.472	3.69143	0.265544
FBtr0114280	575	349.901	414.211	50.8785
FBtr0114257	1030	851	0	0
FBtr0300134	654	475	0	0
FBtr0114249	668	438.342	1624.6	159.291
FBtr0114262	1942	1763	0	0
FBtr0347010	1428	1249	0	0
FBtr0347034	740	561	0	0
FBtr0302352	348	169	0	0
FBtr0300141	1190	1011	0	0
FBtr0300139	1443	1264	0	0
FBtr0300138	1327	1148	0	0
FBtr0114228	765	539.575	4.32985	0.344889
FBtr0347035	1072	893	0	0
FBtr0300689	1880	1649.16	0	0
FBtr0300690	1802	1600.25	8	0.214863
FBtr0330654	1844	1615.62	0	0
FBtr0078170	5248	4619.18	4797.03	44.634
FBtr0078171	5391	4748.57	636.272	5.75889
FBtr0078166	5155	4527.38	8.24446e-06	7.82661e-08
FBtr0078167	5230	4599.94	0.167203	0.00156225
FBtr0078168	5225	4597.1	248.725	2.32539
FBtr0078169	5082	4469.03	643.729	6.19082
FBtr0306589	5315	4672.43	1876.29	17.2589
FBtr0306590	5179	4552.83	64.2527	0.606552
FBtr0306591	5390	4741.43	995.048	9.01971
FBtr0306592	5528	4867.82	0.117635	0.00103863
FBtr0330655	5281	4646.47	101.377	0.937723
FBtr0113008	2629	2404.22	28.1583	0.503373
FBtr0309810	2230	2026.31	39.8417	0.845064
FBtr0078163	4350	4060.44	12.969	0.137275
FBtr0078164	7227	6908.17	8.9096	0.0554311
FBtr0113416	4347	4035.17	0	0
FBtr0309225	6150	5843.01	0	0
FBtr0309227	3917	3615.56	5.08672	0.0604674
FBtr0309228	7266	6909.3	0	0
FBtr0309229	7005	6736.43	5.03472	0.0321221
FBtr0309226	6583	6272.5	0	0
FBtr0345732	244	66.2053	0	0
FBtr0345733	207	37.5845	0	0
FBtr0306539	4153	3836.77	94.2397	1.05567
FBtr0306536	3731	3491.71	6.5917	0.0811367
FBtr0306538	3454	3224.82	38.8233	0.517423
FBtr0078100	4040	3724.28	1004.74	11.595
FBtr0306537	3789	3474.39	640.358	7.92141
FBtr0344052	2798	2298.96	378.497	7.07603
FBtr0344053	2686	2195.22	0	0
FBtr0306540	1430	1154.59	871.709	32.4489
FBtr0078101	1841	1558.31	339.065	9.35165
FBtr0302164	1458	1185.05	352.701	12.7918
FBtr0331680	1536	1268.54	258.938	8.77301
FBtr0301733	1694	1373.6	485.338	15.186
FBtr0306541	1378	1151.47	11	0.41058
FBtr0290323	2225	1887.91	22.1822	0.504989
FBtr0330637	1662	1462.36	28.8178	0.846965
FBtr0078103	6476	5900.82	1132	8.24503
FBtr0078104	1583	1410.98	617.447	18.8078
FBtr0330636	1221	1061.23	264.158	10.6982
FBtr0301452	2551	2299.65	1173.4	21.9301
FBtr0089437	2387	2081.25	0	0
FBtr0308091	961	761.476	80.593	4.54883
FBtr0089428	2184	1945.33	210.041	4.64053
FBtr0089429	2293	2003.14	1.53334e-05	3.28992e-07
FBtr0330656	2298	1998.22	89.1707	1.91795
FBtr0089432	2283	2038.15	582.423	12.2818
FBtr0089430	2380	2094.37	366.532	7.52169
FBtr0089431	2380	2094.43	2.21213e-07	4.53945e-09
FBtr0089433	2353	2061.38	79.7132	1.662
FBtr0089434	2429	2137.42	355.748	7.15336
FBtr0089435	2309	2021.05	731.78	15.5619
FBtr0089436	1971	1694.24	0	0
FBtr0306542	657	464.043	2.11316	0.195718
FBtr0330638	678	499	0	0
FBtr0330639	586	407	0	0
FBtr0336838	818	639	0	0
FBtr0078160	1124	945	0	0
FBtr0100307	2749	2406.01	36.9929	0.660813
FBtr0078157	2742	2432.81	0	0
FBtr0100308	2885	2551.57	5.34308	0.0900001
FBtr0100309	2597	2302.71	2.37138e-08	4.42608e-10
FBtr0330646	2457	2170.16	1.72452	0.0341534
FBtr0078158	2656	2380.87	3.01462e-05	5.44197e-07
FBtr0078156	2456	2172.33	128.119	2.53482
FBtr0078159	4008	3641.27	6.68306	0.0788826
FBtr0100310	2505	2234.33	95.1372	1.83005
FBtr0078154	2778	2533.25	16122.4	273.532
FBtr0100379	2864	2605.63	8003.09	132.009
FBtr0078153	2759	2510.09	218.598	3.74295
FBtr0078155	2845	2582.47	115.339	1.91955
FBtr0344032	1062	821.09	54.6063	2.85832
FBtr0300568	1699	1634.08	766.052	20.1486
FBtr0078114	2176	2011.25	654.057	13.9768
FBtr0078115	2396	2234.53	90.8913	1.74821
FBtr0336836	727	466.862	1	0.0920598
FBtr0336837	502	297.11	2	0.289316
FBtr0346127	1014	819.898	18.4821	0.968835
FBtr0302194	2206	2037.71	0	0
FBtr0302196	2206	2037.71	0	0
FBtr0302195	1335	1178.39	1130.52	41.2332
FBtr0330644	1380	1215.18	9061.09	320.478
FBtr0300987	1838	1646.96	1304.68	34.0469
FBtr0330645	1908	1703.54	2991.23	75.467
FBtr0078116	905	776.176	838	46.4026
FBtr0301929	5305	5381.6	66	0.527097
FBtr0330643	5299	5297.89	0	0
FBtr0078147	1699	1472.05	213	6.21894
FBtr0330641	869	658.416	0	0
FBtr0330642	798	593.468	7.5903	0.549693
FBtr0078117	486	305.264	852.749	120.062
FBtr0078118	623	437.092	138.486	13.6173
FBtr0301886	568	385.92	0	0
FBtr0301887	507	325.843	0.0616078	0.00812617
FBtr0330640	415	232.864	0	0
FBtr0340650	1381	1196.65	64.1712	2.30479
FBtr0078119	1261	1084.76	1034.83	41.0007
FBtr0091612	769	581.954	224	16.5431
FBtr0078122	17880	17692.1	0	0
FBtr0306341	17963	17766	0	0
FBtr0330652	20622	20461.5	130.209	0.273504
FBtr0332336	19571	19295.5	363.726	0.81017
FBtr0078121	19604	19300.4	1976.24	4.40079
FBtr0332337	17143	16964	0	0
FBtr0078123	18859	18677.3	1.14579e-05	2.63662e-08
FBtr0330653	18434	18254.9	790.824	1.86191
FBtr0078124	903	747.264	729	41.9287
FBtr0308246	1290	1107.62	24	0.931281
FBtr0078146	1259	1074.93	2.77939e-06	1.11129e-07
FBtr0332338	3129	2965.93	13.7927	0.199869
FBtr0078125	2902	2750.89	601.339	9.39516
FBtr0332339	3121	2935.91	15.8684	0.2323
FBtr0078145	8225	8077.57	3016.13	16.0483
FBtr0078144	17943	18020.2	90.049	0.214772
FBtr0299837	18528	18624.9	26.7114	0.0616396
FBtr0308253	18006	18080.5	48.3508	0.114935
FBtr0308254	17733	17790.2	55.7539	0.134696
FBtr0308255	17731	17580.9	0	0
FBtr0336984	400	221	0	0
FBtr0336985	1190	1025.78	1	0.0418989
FBtr0336986	552	373	0	0
FBtr0309764	88	8.89679	0	0
FBtr0078126	1660	1481	0	0
FBtr0304343	107	10.4162	0	0
FBtr0304344	22	5.60924	0	0
FBtr0336987	904	708.512	3	0.181984
FBtr0336990	1105	959.204	0	0
FBtr0078143	981	837.779	271	13.9027
FBtr0336989	1799	1738.63	13.0138	0.321703
FBtr0078140	1726	1649.24	295.491	7.70048
FBtr0078141	1753	1675.91	25.4953	0.653837
FBtr0308252	7557	7263.95	4	0.0236671
FBtr0336988	754	575	0	0
FBtr0078142	4040	3861	0	0
